userId,contId,conTitle,conDescription,conPalabras,conTemplate,temType,temComp,recWritingTips,publiPlatform
1,101,Biography of Elon Musk,"A comprehensive biography of Elon Musk, covering his early life, career, and achievements.",1500,Biography Template,Article,5,"Use a chronological structure, include quotes, and highlight major milestones.",Medium
2,102,Top 10 SUVs to Buy in 2024,A detailed review of the top 10 SUVs that offer the best value for money in 2024.,1200,Listicle Template,Blog Post,4,"Use bullet points, include high-quality images, and provide pros and cons for each SUV.",WordPress
3,103,How to Create Engaging Instagram Stories,A comprehensive guide to creating Instagram stories that engage and convert.,1100,Instagram Guide Template,Blog Post,6,"Use high-quality images, interactive elements, and clear CTAs.",Canva
4,104,The Ultimate Guide to Email Marketing,Step-by-step instructions on how to create and execute an effective email marketing campaign.,1500,Email Marketing Template,Ebook,8,"Segment your audience, personalize emails, and A/B test subject lines.",HubSpot
5,105,Top 5 Tools for Social Media Management,An overview of the best tools to manage your social media accounts efficiently.,800,Tools List Template,Blog Post,3,"Provide pros and cons, include pricing information, and use screenshots.",BuzzSumo
6,106,Creating High-Conversion Landing Pages,Tips and best practices for designing landing pages that convert visitors into customers.,1300,Landing Page Template,Blog Post,7,"Use clear headlines, strong CTAs, and customer testimonials.",WordPress
7,107,Content Marketing Strategies for Small Businesses,Effective content marketing strategies tailored for small business growth.,1000,Strategy Guide Template,Blog Post,5,"Focus on local SEO, create a content calendar, and repurpose content.",Medium
8,108,Maximizing ROI with Google Ads,A detailed guide on how to maximize return on investment with Google Ads.,1400,Ad Campaign Template,Ebook,6,"Use targeted keywords, write compelling ad copy, and monitor performance.",HubSpot
9,109,The Benefits of Influencer Marketing,Explore the benefits and strategies of leveraging influencer marketing for your brand.,950,Influencer Guide Template,Blog Post,4,"Identify relevant influencers, set clear goals, and measure ROI.",BuzzSumo
10,110,How to Optimize Your Website for Mobile Users,Best practices for ensuring your website is optimized for mobile devices.,1250,Mobile Optimization Template,Blog Post,5,"Use responsive design, prioritize speed, and simplify navigation.",WordPress
11,111,Effective Content Marketing Funnels,Learn how to create and implement content marketing funnels to drive conversions.,1350,Funnel Guide Template,Ebook,7,"Map out the customer journey, use targeted content, and include strong CTAs.",HubSpot
12,112,SEO Tips for E-commerce Websites,Optimize your e-commerce site with these essential SEO tips.,1100,E-commerce SEO Template,Blog Post,6,"Optimize product pages, use high-quality images, and focus on user reviews.",Medium
13,113,The Power of Video Marketing,How to leverage video marketing to enhance your brand's online presence.,950,Video Guide Template,Blog Post,4,"Create engaging thumbnails, use clear scripting, and include CTAs.",BuzzSumo
14,114,Understanding Google Analytics,A beginner's guide to understanding and utilizing Google Analytics for your website.,1200,Analytics Guide Template,Blog Post,5,"Use clear examples, include screenshots, and focus on actionable insights.",WordPress
15,115,Email Marketing Automation Tips,Tips for automating your email marketing to save time and increase efficiency.,1300,Automation Guide Template,Ebook,7,"Segment your audience, personalize emails, and test automation workflows.",HubSpot
16,116,10 Tips for Boosting E-commerce Sales,Proven strategies to increase sales on your e-commerce platform.,1100,Sales Tips Template,Blog Post,5,"Use actionable tips, include success stories, and provide clear examples.",Medium
17,117,Optimizing Product Descriptions for E-commerce,How to write compelling product descriptions that convert.,950,Product Description Template,Blog Post,4,"Focus on benefits, use bullet points, and include high-quality images.",WordPress
18,118,Creating Effective E-commerce Landing Pages,Best practices for designing landing pages that drive sales.,1250,Landing Page Template,Blog Post,6,"Use strong headlines, clear CTAs, and customer testimonials.",Shopify
19,119,Email Marketing for E-commerce,How to create email campaigns that boost e-commerce sales.,1400,Email Campaign Template,Ebook,7,"Segment your list, personalize emails, and include strong CTAs.",Mailchimp
20,120,Leveraging Social Proof in E-commerce,How to use customer reviews and testimonials to increase sales.,1000,Social Proof Template,Blog Post,5,"Include real customer quotes, use high-quality images, and highlight key benefits.",BigCommerce
21,121,E-commerce SEO: Strategies for Success,Effective SEO strategies to improve your e-commerce site's ranking.,1300,SEO Guide Template,Blog Post,6,"Use relevant keywords, optimize product pages, and improve site speed.",WooCommerce
22,122,Creating High-Converting E-commerce Ads,Tips for designing e-commerce ads that drive traffic and sales.,1100,Ad Design Template,Blog Post,5,"Use eye-catching visuals, clear messaging, and strong CTAs.",Facebook
23,123,Maximizing E-commerce Revenue with Upselling,Strategies for effectively upselling products in your e-commerce store.,1200,Upselling Template,Blog Post,5,"Offer relevant upsells, use personalized recommendations, and create urgency.",Shopify
24,124,E-commerce Analytics: Tracking Sales and Performance,How to use analytics tools to track and improve your e-commerce performance.,1400,Analytics Template,Ebook,7,"Use clear charts, include actionable insights, and focus on key metrics.",Google Analytics
25,125,Building a Loyal Customer Base for Your E-commerce Store,Tips and strategies for retaining customers and building loyalty.,1100,Loyalty Program Template,Blog Post,5,"Offer rewards, provide excellent customer service, and personalize communication.",BigCommerce
26,126,Effective Product Photography for E-commerce,How to take and edit product photos that boost e-commerce sales.,1000,Photography Guide Template,Blog Post,4,"Use good lighting, show multiple angles, and edit for clarity.",Shopify
27,127,Creating an E-commerce Store with WordPress,Step-by-step guide to building an e-commerce store using WordPress and WooCommerce.,1500,Setup Guide Template,Ebook,8,"Include screenshots, use clear instructions, and provide troubleshooting tips.",WordPress
28,128,The Future of E-commerce: Trends to Watch,An analysis of upcoming trends in e-commerce and how to prepare for them.,1200,Trends Analysis Template,Blog Post,5,"Use data to support predictions, include expert opinions, and focus on actionable steps.",Medium
29,129,Enhancing Customer Experience in E-commerce,Best practices for creating a seamless and enjoyable customer experience on your e-commerce site.,1300,Customer Experience Template,Blog Post,6,"Focus on usability, provide excellent support, and gather customer feedback.",Shopify
30,130,Creating Engaging Facebook Posts,Tips for writing Facebook posts that engage your audience and drive interaction.,800,Facebook Post Template,Social Media Post,3,"Use compelling headlines, include images or videos, and encourage comments.",Facebook
31,131,Crafting Effective Tweets,How to write tweets that capture attention and encourage retweets.,300,Twitter Post Template,Social Media Post,2,"Keep it concise, use hashtags, and include a call to action.",Twitter
32,132,Instagram Caption Ideas for High Engagement,Ideas and tips for writing Instagram captions that increase engagement.,600,Instagram Caption Template,Social Media Post,3,"Use emojis, ask questions, and include relevant hashtags.",Instagram
33,133,LinkedIn Posts for Professional Networking,Guidelines for writing LinkedIn posts that build professional relationships.,900,LinkedIn Post Template,Social Media Post,4,"Be professional, share valuable insights, and engage with your network.",LinkedIn
34,134,Pinterest Descriptions That Drive Traffic,How to write Pinterest descriptions that attract clicks and drive traffic.,500,Pinterest Description Template,Social Media Post,3,"Use keywords, include a call to action, and make it visually appealing.",Pinterest
35,135,Writing Compelling YouTube Video Descriptions,Best practices for writing YouTube video descriptions that boost views.,700,YouTube Description Template,Social Media Post,3,"Include keywords, summarize the video content, and add links to relevant resources.",YouTube
36,136,Engaging Blog Post Titles,How to craft blog post titles that grab attention and drive clicks.,400,Blog Title Template,Social Media Post,2,"Use numbers, ask questions, and include keywords.",Blog
37,137,Creating Shareable LinkedIn Articles,Tips for writing LinkedIn articles that are highly shareable and engage your audience.,1000,LinkedIn Article Template,Social Media Post,4,"Provide value, use professional language, and include a clear structure.",LinkedIn
38,138,Writing Snapchat Stories That Stand Out,How to create Snapchat stories that captivate your audience.,500,Snapchat Story Template,Social Media Post,3,"Use vibrant visuals, keep text short, and add interactive elements.",Snapchat
39,139,Effective Facebook Ad Copy,Strategies for writing Facebook ad copy that converts.,400,Facebook Ad Template,Social Media Post,3,"Highlight benefits, use a strong call to action, and test different versions.",Facebook
40,140,Writing Persuasive Instagram Ads,Tips for crafting Instagram ad copy that drives engagement and sales.,350,Instagram Ad Template,Social Media Post,2,"Use compelling visuals, keep text concise, and include a call to action.",Instagram
41,141,The Power of Product Bundling,Explore the benefits of bundling products and how it can increase sales.,400,Product Bundle Template,Social Media Post,2,Showcase value: 'Unlock savings and convenience with our product bundles!',Facebook
42,142,Innovative Ways to Use Augmented Reality in Retail,Discover how AR technology is transforming the retail experience.,350,AR Retail Template,Social Media Post,2,Create curiosity: 'Step into the future of shopping with our AR-powered experiences!',Instagram
43,143,Mastering Customer Retention Strategies,Learn proven strategies to keep customers coming back for more.,380,Retention Strategies Template,Social Media Post,2,Promise value: 'Unlock the secrets to customer loyalty and long-term success!',LinkedIn
44,144,The Rise of Sustainable Fashion,Explore the eco-friendly fashion trends shaping the industry.,420,Sustainable Fashion Template,Social Media Post,2,Invoke emotion: 'Join the movement towards a greener future with our sustainable fashion line!',Twitter
45,145,Maximizing ROI with Influencer Partnerships,Tips for leveraging influencer partnerships to boost brand visibility.,370,Influencer Partnerships Template,Social Media Post,2,Create urgency: 'Don't miss out! Collaborate with top influencers to skyrocket your brand!',Facebook
46,146,Unlocking the Power of Data Analytics in Marketing,Discover how data analytics can drive marketing decisions and growth.,390,Data Analytics Template,Social Media Post,2,Highlight benefits: 'Gain actionable insights and make smarter marketing moves with data analytics!',LinkedIn
47,147,Revolutionizing E-commerce with AI Technology,Explore how AI is reshaping the e-commerce landscape.,360,AI E-commerce Template,Social Media Post,2,Create intrigue: 'Discover the future of online shopping with AI-powered innovations!',Instagram
48,148,The Art of Storytelling in Brand Marketing,Learn how storytelling can connect with customers on a deeper level.,430,Storytelling Template,Social Media Post,2,Evoke curiosity: 'Uncover the magic of storytelling and captivate your audience like never before!',Twitter
49,149,Creating Irresistible Product Offers,Tips for crafting compelling product offers that drive sales.,380,Product Offers Template,Social Media Post,2,Highlight exclusivity: 'Exclusive offer alert! Grab your favorite products at unbeatable prices!',Facebook
50,150,Building a Strong Personal Brand Online,Strategies for establishing and growing a powerful personal brand online.,400,Personal Branding Template,Social Media Post,2,Invoke aspiration: 'Transform your online presence and build a brand that stands out!',LinkedIn
51,151,Free Tickets Giveaway for #MathematicsTour!,Giving away tickets to the #MathematicsTour through @ZeeMeeApp! All you gotta do is download the app &amp,20,Ticket Giveaway Template,Social Media Post,1,Create excitement: 'Get ready for an epic experience! Win free tickets to #MathematicsTour!',Twitter
52,152,New Refix by @randomimpulse!,NEW REFIX from @randomimpulse! DJ FRESH'S LOUDER REMADE FROM SCRATCH WITH ELECTRIC GUITAR WITH BARS! &gt,22,Music Refix Template,Social Media Post,1,Highlight uniqueness: 'Experience a fresh twist on DJ FRESH'S LOUDER with this amazing refix!',Twitter
53,153,American Express Pre-sale Alert!,The @AmericanExpress pre-sale for the additional New Jersey &amp,15,Pre-sale Alert Template,Social Media Post,1,Create urgency: 'Exclusive pre-sale alert! Grab your tickets before they're gone!',Twitter
54,154,Exciting Updates for Australia & Ireland Shows!,Australia &amp; Ireland! 🇮🇪 Joining Ed at his shows will be @maisiehpeters &amp,18,Show Updates Template,Social Media Post,1,Highlight partnerships: 'Don't miss out on amazing performances at our Australia & Ireland shows!',Twitter
55,155,Additional Dates Added for New Jersey Shows!,Second dates have been added for New Jersey &amp,13,Show Dates Template,Social Media Post,1,Create curiosity: 'Exciting news! More dates added for New Jersey shows. Stay tuned!',Twitter
56,156,Seb Rochford Presents: Mikill Pane & Ben Clemo,RT @MikillPane: Seb Rochford Presents: Mikill Pane & Ben Clemo Introducing the Guinness &amp,16,Event Announcement Template,Social Media Post,1,Build anticipation: 'Exciting collaboration announcement! Get ready for Mikill Pane & Ben Clemo!',Twitter
57,157,New Single Release from @LethalBizzle!,Check out @LethalBizzle's  new single *Mind Spinning* which is out today on Itunes! :) Link,19,Music Release Template,Social Media Post,1,Include call to action: 'Listen to the new single *Mind Spinning* now available on iTunes!',Twitter
58,158,Bad Habits Official Video Out Now!,Bad Habits. Out now. Listen and watch the official video at https://t.co/RWNLMctdyj #BadHabits https://t.co/HincbL85Kl,20,Music Video Release Template,Social Media Post,1,Share excitement: 'Don't miss the official video release of Bad Habits! Watch it now!',Twitter
59,159,= Album Pre-order Available Now!,= is released on the 29th of October 🦋 Pre-order now https://t.co/xwc7Bkh04s https://t.co/Bfs1NC0KiU,22,Album Pre-order Template,Social Media Post,1,Promote pre-orders: 'Get your hands on the new album =! Pre-order now for exclusive bonuses!',Twitter
60,160,Permission to Dance by @BTS_twt,Wrote this song a while ago and so happy it’s being heard on such a world stage and being sung by such talented people. Check out Permission to Dance by @BTS_twt @bts_bighit on all platforms x Repost @ teddysphotos on Instagram https://t.co/0JaDjEgXI3 #PermissiontoDance https://t.co/pAsr7XJ7pp,46,Song Release Template,Social Media Post,1,Highlight collaboration: 'Celebrate the global success of Permission to Dance by @BTS_twt! Listen now!',Twitter
61,161,Bad Habits Official Video Premiere,Bad Habits The official video premieres this Friday at 5am bst / midnight est https://t.co/xtRiTOcfeY #BadHabits https://t.co/SJvFhCbph4,18,Video Premiere Announcement Template,Social Media Post,1,Build anticipation: 'Don't miss the exclusive premiere of Bad Habits official video this Friday!',Twitter
62,162,The Joker And The Queen Out Now!,The Joker And The Queen featuring my good friend @taylorswift13 is out this Friday. Link in bio to pre-order or pre-save it x https://t.co/1WEEHn3okc  Repost @ teddysphotos on Instagram https://t.co/8kIYNSS7Pw,31,New Song Release Template,Social Media Post,1,Promote collaboration: 'Experience the magic of The Joker And The Queen with @taylorswift13 out now!',Twitter
63,163,#10YearsofPlus Celebration!,#10YearsofPlus What's your favourite song? https://t.co/RtSN1TP1fG,9,Anniversary Celebration Template,Social Media Post,1,Engage audience: 'Join the celebration! Share your favorite song from #10YearsofPlus!',Twitter
64,164,The Joker And The Queen Video Premiere,The Joker And The Queen with @taylorswift13 is out tonight at midnight UK time and the video will premiere on youtube at the same time. x https://t.co/1WEEHn3okc  Repost @ teddysphotos on Instagram https://t.co/LDfLTLiwfb,28,Video Premiere Announcement Template,Social Media Post,1,Create excitement: 'Get ready for the premiere of The Joker And The Queen video tonight!',Twitter
65,165,Exciting Collaboration with PokemonGO!,Coming soon.. x #PokemonGOxEdSheeran https://t.co/8LDcIsVe78,9,Collaboration Teaser Template,Social Media Post,1,Create curiosity: 'Exciting collaboration with PokemonGO coming soon! Stay tuned!',Twitter
66,166,RSVP for Ed's PokemonGO Performance!,"Like ❤️  this tweet to RSVP for Ed’s @PokemonGOApp performance! Get the latest info on how to watch him perform some of his favourite songs, including a few from his latest album “=” 🕶🎸 #PokemonGOxEdSheeran https://t.co/AMhPv8d4mo",29,RSVP Announcement Template,Social Media Post,1,Encourage action: 'Don't miss Ed's PokemonGO performance! RSVP now and enjoy his amazing songs!',Twitter
67,167,Embracing the Autumn Vibes 🍁,Autumn is upon us https://t.co/SfPlcZb8NP,5,Seasonal Vibes Template,Social Media Post,1,Create atmosphere: 'Embrace the beauty of autumn with us 🍁',Twitter
68,168,Heavenly New Release 🖤,I wish that heaven had visiting hours 🖤 Out now: https://t.co/f8NyZIZqU0 https://t.co/4cu6abC9Li,11,New Song Release Template,Social Media Post,1,Invoke emotion: 'Experience the emotional journey with our latest release 🖤',Twitter
